Data;Hora;Irradiacao
20072019;4;0.124
20072019;5;0
20072019;6;0
20072019;7;0
20072019;8;0
20072019;9;0
20072019;10;27.3
20072019;11;289.1
20072019;12;835.4
20072019;13;1903
20072019;14;2756
20072019;15;3346
20072019;16;3039
20072019;17;2259
20072019;18;1961
20072019;19;737.3
20072019;20;322.9
20072019;21;113.9
20072019;22;12.37
20072019;23;4.026
21072019;0;2.222
21072019;1;0.403
21072019;2;1.708
21072019;3;2.205
21072019;4;1.353
21072019;5;0.414
21072019;6;0
21072019;7;0
21072019;8;0
21072019;9;0.006
21072019;10;34.17
21072019;11;351
21072019;12;791.9
21072019;13;1895
21072019;14;2098
21072019;15;2414
21072019;16;3195
21072019;17;2666
21072019;18;2390
21072019;19;439.7
21072019;20;320.1
21072019;21;188.7
21072019;22;22.93
21072019;23;3.573
22072019;0;2.253
22072019;1;0.758
22072019;2;0.024
22072019;3;0
22072019;4;0
22072019;5;0
22072019;6;0
22072019;7;0
22072019;8;0
22072019;9;0
22072019;10;27.45
22072019;11;257.9
22072019;12;727.4
22072019;13;1862
22072019;14;2754
22072019;15;3509
22072019;16;3509
22072019;17;3046
22072019;18;2417
22072019;19;1714
22072019;20;1269
22072019;21;507.2
22072019;22;15.55
22072019;23;2.144
23072019;0;0.725
23072019;1;0
23072019;2;2.270
23072019;3;0.288
23072019;4;0
23072019;5;0.012
23072019;6;0
23072019;7;0
23072019;8;0
23072019;9;0
23072019;10;27.51
23072019;11;296.8
23072019;12;858.2
23072019;13;2162
23072019;14;2993
23072019;15;3425
23072019;16;3524
23072019;17;3153
23072019;18;2594
23072019;19;1792
23072019;20;1198
23072019;21;323.7
23072019;22;13.3
23072019;23;0.011
24072019;0;0.027
24072019;1;0.21
24072019;2;0.494
24072019;3;0.217
24072019;4;0
24072019;5;0
24072019;6;0
24072019;7;0
24072019;8;0
24072019;9;0
24072019;10;26.03
24072019;11;264.8
24072019;12;866.3
24072019;13;2207
24072019;14;2626
24072019;15;3148
24072019;16;2756
24072019;17;2844
24072019;18;2399
24072019;19;1628
24072019;20;767.6
24072019;21;100.9
24072019;22;19.68
24072019;23;0.667
25072019;0;0
25072019;1;0.244
25072019;2;0
25072019;3;0
25072019;4;0
25072019;5;0.024
25072019;6;0
25072019;7;0.001
25072019;8;0.122
25072019;9;0
25072019;10;21.33
25072019;11;212.5
25072019;12;776.4
25072019;13;1637
25072019;14;2626
25072019;15;2623
25072019;16;2223
25072019;17;3149
25072019;18;2316
25072019;19;1895
25072019;20;861.5
25072019;21;421.4
25072019;22;35.6
25072019;23;5.778
26072019;0;0.733
26072019;1;0.096
26072019;2;0
26072019;3;0
26072019;4;0
26072019;5;0
26072019;6;0
26072019;7;0
26072019;8;0
26072019;9;0
26072019;10;19.35
26072019;11;195.2
26072019;12;626.1
26072019;13;1222
26072019;14;2179
26072019;15;1988
26072019;16;2545
26072019;17;2342
26072019;18;2175
26072019;19;1822
26072019;20;1208
26072019;21;351.2
26072019;22;10.13
26072019;23;0.564
27072019;0;0.023
27072019;1;0
27072019;2;0
27072019;3;0
27072019;4;0
27072019;5;0
27072019;6;0
27072019;7;0
27072019;8;0
27072019;9;0
27072019;10;26.83
27072019;11;270.8
27072019;12;708.6
27072019;13;2179
27072019;14;2780
27072019;15;3149
27072019;16;2491
27072019;17;1956
27072019;18;2484
27072019;19;1847
27072019;20;602.1
27072019;21;53.27
27072019;22;12.31
27072019;23;3.496
28072019;0;3.255
28072019;1;0.075
28072019;2;0.37
28072019;3;0.127
28072019;4;0
28072019;5;0
28072019;6;0
28072019;7;0
28072019;8;0
28072019;9;0
28072019;10;29.7
28072019;11;270.9
28072019;12;706.8
28072019;13;1974
28072019;14;2927
28072019;15;3044
28072019;16;2053
28072019;17;2058
28072019;18;1986
28072019;19;1476
28072019;20;678.6
28072019;21;88.2
28072019;22;13.8
28072019;23;0
29072019;0;0
29072019;1;1.637
29072019;2;0
29072019;3;0
29072019;4;0
29072019;5;0.016
29072019;6;0
29072019;7;0
29072019;8;0
29072019;9;0.012
29072019;10;28
29072019;11;275.1
29072019;12;605.7
29072019;13;1357
29072019;14;2683
29072019;15;3075
29072019;16;2622
29072019;17;2269
29072019;18;1791
29072019;19;1548
29072019;20;1222
29072019;21;279.3
29072019;22;23.72
29072019;23;1.924
30072019;0;5.197
30072019;1;5.639
30072019;2;4.479
30072019;3;0.893
30072019;4;0.175
30072019;5;0.009
30072019;6;0.998
30072019;7;0
30072019;8;0.049
30072019;9;0
30072019;10;27.42
30072019;11;329.6
30072019;12;741.1
30072019;13;1792
30072019;14;2924
30072019;15;3207
30072019;16;2990
30072019;17;1621
30072019;18;1059
30072019;19;478.8
30072019;20;80.63
30072019;21;86.63
30072019;22;20.64
30072019;23;4.194
31072019;0;0.232
31072019;1;0.034
31072019;2;0.013
31072019;3;0
31072019;4;0
31072019;5;0
31072019;6;0
31072019;7;0
31072019;8;0
31072019;9;0
31072019;10;30.97
31072019;11;287.3
31072019;12;647.4
31072019;13;1951
31072019;14;2546
31072019;15;3045
31072019;16;3459
31072019;17;2959
31072019;18;2661
31072019;19;1560
31072019;20;220.9
31072019;21;70.75
31072019;22;16.26
31072019;23;1.311
01082019;0;2.659
01082019;1;1.006
01082019;2;1.778
01082019;3;1.711
01082019;4;0.013
01082019;5;0
01082019;6;0
01082019;7;0
01082019;8;0
01082019;9;0
01082019;10;29.38
01082019;11;247.8
01082019;12;704.8
01082019;13;2311
01082019;14;2697
01082019;15;2870
01082019;16;3257
01082019;17;3108
01082019;18;2732
01082019;19;1620
01082019;20;1023
01082019;21;147.7
01082019;22;13.72
01082019;23;1.951
02082019;0;0.503
02082019;1;0
02082019;2;0
02082019;3;1.173
02082019;4;0.3
02082019;5;0
02082019;6;0
02082019;7;0
02082019;8;0
02082019;9;0
02082019;10;30.29
02082019;11;203.4
02082019;12;697.8
02082019;13;1768
02082019;14;1587
02082019;15;2428
02082019;16;2738
02082019;17;1867
02082019;18;2338
02082019;19;1925
02082019;20;1235
02082019;21;321
02082019;22;8.161
02082019;23;7.838
03082019;0;3.068
03082019;1;2.089
03082019;2;0.186
03082019;3;0.312
03082019;4;0.519
03082019;5;0
03082019;6;0
03082019;7;0
03082019;8;0
03082019;9;0
03082019;10;28.54
03082019;11;172.8
03082019;12;721.9
03082019;13;1807
03082019;14;2214
03082019;15;2813
03082019;16;2747
03082019;17;2874
03082019;18;2766
03082019;19;1913
03082019;20;1187
03082019;21;357.9
03082019;22;18.47
03082019;23;0.41
04082019;0;2.204
04082019;1;3.836
04082019;2;2.436
04082019;3;1.392
04082019;4;0.059
04082019;5;0
04082019;6;0
04082019;7;0
04082019;8;0
04082019;9;0
04082019;10;37.45
04082019;11;321.6
